title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Gold Full Rim Aviator,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s11075,VC S11075,138 mm,55-16-140,,/vincent-chase-vc-s11075-c11-sunglasses.html
Gold Brown Rimless Rectangle/ Square,2000,1500,SINGLE,Vincent Chase,Wide,,s15397,VC S15397,142 mm,60-12-148,,/vincent-chase-vc-s15397-c3-sunglasses.html
Tortoise Half Rim Wayfarer,2000,1500,SINGLE,Lenskart Boost,Wide,,s16443,LKB S16443,143 mm,67-20-125,,/lenskart-boost-lkb-s16443-c1-sunglasses.html
Black Full Rim Wayfarer,2000,1500,SINGLE,Lenskart Hustlr,Medium,,s15999,VC S15999,141 mm,49-21-150,,/vincent-chase-vc-s15999-c1-sunglasses.html
Brown Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16340,VC S16340,140 mm,49-19-145,Brown,/vincent-chase-vc-s16340-c1-sunglasses.html
Yellow Full Rim Cat Eye,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s16145,VC S16145,143 mm,52-19-145,,/vincent-chase-vc-s16145-c5-sunglasses.html
Black Full Rim Geometric,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s16558,VC S16558,139 mm,53-19-145,,/vincent-chase-vc-s16558-c2-sunglasses.html
Silver Full Rim Aviator,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,vc,VC S11075,138 mm,56-16-145,Silver,/vincent-chase-polarized-vc-s11075-c7-sunglasses.html
Silver Maroon Full Rim Clubmaster,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16341,VC S16341,140 mm,52-20-145,Silver Maroon,/vincent-chase-vc-s16341-c3-sunglasses.html
Black Silver Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s11110,VC S11110,145 mm,52-19-151,Black Silver,/vincent-chase-vc-s11110-c11-sunglasses.html
Silver Full Rim Geometric,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s16561,VC S16561,139 mm,51-22-145,Silver,/vincent-chase-vc-s16561-c2-sunglasses.html
Matte Blue Half Rim Wayfarer,2000,1500,SINGLE,Lenskart Boost,Extra Wide,,s16582,LKB S16582,153 mm,41-20-153,,/lenskart-boost-lkb-s16582-c1-sunglass.html
Black Full Rim Rectangle/ Square,1500,1000,SINGLE,Vincent Chase Polarized,Wide,,s16560,VC S16560,141 mm,52-19-143,Black,/vincent-chase-vc-s16560-c2-sunglasses.html
